instance_name,weight,roughness
paper_box_6_4,0.015,0.2428886720617897
ball_10_5,0.033,0.09513226180537966
plastic_box_4_4,0.026,0.2285104669335848
tray_5_3,0.167,0.2288950823182
tray_10_10,0.187,0.2466707233438411
plastic_box_8_9,0.092,0.2982604669335845
plastic_box_3_10,0.101,0.2284591848823029
ball_7_3,0.069,0.1043373900105079
book_7_7,0.465,0.2327732874464053
cup_7_3,0.239,0.2037796977028154
tray_6_1,0.312,0.3476002105233282
sponge_4_6,0.003,0.5317284156515335
bowl_9_4,0.548,0.2243373900105078
ball_1_1,0.096,0.1379976464207641
plastic_box_5_10,0.022,0.2753950823182003
book_8_9,0.317,0.2711002105233284
ball_6_3,0.058,0.1061130310361489
sponge_2_5,0.012,0.4282284156515334
metal_box_5_8,0.232,0.2249335438566618
ball_4_7,0.014,0.139343800266918
bowl_2_6,0.343,0.2272220053951234
to_go_cup_6_8,0.019,0.2216066207797385
paper_box_7_2,0.044,0.2859335438566617
plastic_box_2_8,0.012,0.3060809797540976
tray_3_4,0.489,0.2922091848823027
to_go_cup_7_10,0.032,0.2314591848823027
cup_2_3,0.201,0.2599207233438413
ball_7_10,0.069,0.1143438002669179
tray_9_3,0.245,0.2500681592412771
to_go_cup_2_8,0.014,0.2597284156515334
to_go_cup_10_10,0.059,0.234016877189995
sponge_6_9,0.008,0.3586771336002516
plate_5_3,0.436,0.2025361079592259
ball_6_1,0.058,0.1148245694976872
paper_box_4_6,0.044,0.2705232874464054
paper_box_1_5,0.011,0.2386386720617898
bowl_5_2,0.035,0.296119441292559
tray_8_10,0.072,0.3937989284720461
bowl_9_3,0.548,0.2267412361643541
to_go_cup_2_2,0.014,0.3069399541130718
book_7_8,0.465,0.2386002105233285
bowl_8_5,0.244,0.1966514925746105
paper_box_3_10,0.015,0.2952989284720463
cup_2_2,0.201,0.3069399541130718
to_go_cup_3_7,0.046,0.2282989284720462
bowl_1_4,0.264,0.2152604669335846
paper_box_3_5,0.015,0.2929976464207641
sponge_1_7,0.005,0.3458053387284566
metal_box_3_9,0.146,0.2605232874464051
book_3_6,1.043,0.2772348259079435
paper_box_2_1,0.054,0.2597732874464053
cup_2_8,0.201,0.2597284156515334
plate_1_10,0.17,0.2032668771899951
ball_7_9,0.069,0.1640617489848668
plastic_box_3_6,0.101,0.1947540566771747
plate_2_5,0.331,0.2288950823182
book_2_4,0.617,0.2281514925746105
book_1_4,0.589,0.2656002105233286
tray_9_1,0.245,0.247093800266918
cup_7_10,0.239,0.1928758515489694
sponge_2_4,0.012,0.4434079028310209
plate_9_4,0.177,0.2634976464207642
tray_4_5,0.168,0.2209079028310206
metal_box_5_7,0.232,0.2221450823182
book_4_6,0.612,0.2887091848823026
plate_7_6,0.019,0.3466002105233283
book_7_2,0.465,0.2506322618053796
ball_4_1,0.014,0.09273482590794394
paper_box_7_4,0.044,0.2705745694976873
plate_5_9,0.436,0.2089591848823027
cup_5_8,0.318,0.2345809797540975
sponge_4_5,0.003,0.540465595138713
paper_box_2_8,0.054,0.2326322618053796
cup_10_8,0.058,0.2505296977028155
to_go_cup_5_5,0.007,0.3719463643694824
plate_3_6,0.656,0.2114143130874309
paper_box_7_6,0.044,0.2780553387284567
bowl_10_5,0.505,0.2343566207797387
bowl_7_10,0.028,0.3003502105233282
plastic_box_10_1,0.026,0.2914784156515335
to_go_cup_5_1,0.007,0.2944527746258924
metal_box_4_7,0.085,0.2268181592412773
plastic_box_5_1,0.022,0.2469784156515332
plate_5_8,0.436,0.2050681592412771
cup_9_10,0.324,0.2219463643694821
plastic_box_9_10,0.072,0.2782732874464053
metal_box_8_10,0.101,0.2141002105233283
plastic_box_2_6,0.012,0.290292518215636
to_go_cup_2_6,0.014,0.2754014925746106
to_go_cup_1_4,0.013,0.2886579028310207
book_9_8,0.686,0.2795809797540976
bowl_6_8,0.05,0.2739271336002513
to_go_cup_5_9,0.007,0.374068159241277
cup_6_7,0.302,0.2313117489848669
plate_4_9,0.343,0.2210040566771744
tray_6_8,0.312,0.3614271336002515
book_7_9,0.465,0.241266877189995
plate_10_1,0.389,0.2279271336002514
sponge_4_8,0.003,0.5322732874464051
bowl_6_5,0.05,0.259766877189995
bowl_9_8,0.548,0.1985296977028156
book_6_8,0.896,0.2311002105233281
cup_5_9,0.318,0.253465595138713
tray_10_1,0.187,0.2697476464207643
plate_7_10,0.019,0.34288867206179
bowl_8_6,0.244,0.1936386720617898
plate_6_10,0.61,0.2654014925746103
metal_box_4_6,0.085,0.2131579028310206
book_6_3,0.896,0.2226322618053796
tray_10_2,0.187,0.2764527746258924
plastic_box_10_6,0.026,0.2652604669335846
ball_7_2,0.069,0.105741236164354
cup_10_10,0.058,0.234016877189995
ball_5_2,0.059,0.1090489284720464
to_go_cup_10_9,0.059,0.2371194412925592
to_go_cup_9_9,0.037,0.2888758515489693
ball_2_4,0.058,0.09887585154896954
bowl_2_3,0.343,0.2274271336002517
bowl_7_9,0.028,0.2798630310361487
metal_box_4_4,0.085,0.220363031036149
sponge_9_1,0.013,0.398222005395123
paper_box_4_1,0.044,0.2871899541130718
ball_6_10,0.058,0.1318245694976875
plate_4_3,0.343,0.2578502105233283
plate_4_8,0.343,0.2207027746258926
to_go_cup_10_4,0.059,0.2502348259079438
plastic_box_4_5,0.026,0.2221322618053797
ball_2_9,0.058,0.1156707233438411
book_9_4,0.686,0.2745168771899948
metal_box_2_3,0.098,0.2645489284720464
ball_6_8,0.058,0.1249655951387131
paper_box_3_3,0.015,0.3447796977028154
tray_10_3,0.187,0.2612220053951233
plastic_box_6_1,0.055,0.282568159241277
sponge_3_8,0.007,0.5424399541130721
to_go_cup_9_7,0.037,0.2723373900105079
paper_box_10_2,0.02,0.2397796977028154
bowl_7_4,0.028,0.2941002105233285
paper_box_1_7,0.011,0.2734784156515335
tray_3_10,0.489,0.304619441292559
ball_2_10,0.058,0.1317220053951234
book_2_8,0.617,0.2443630310361489
tray_9_2,0.245,0.2414591848823026
cup_4_9,0.13,0.2337861079592258
book_4_7,0.612,0.277414313087431
sponge_6_7,0.008,0.3643694412925591
plastic_box_6_7,0.055,0.2918438002669179
metal_box_10_4,0.058,0.2798373900105077
bowl_5_9,0.035,0.2868886720617898
cup_7_2,0.239,0.1944784156515334
to_go_cup_4_10,0.01,0.2292668771899949
plate_6_7,0.61,0.2576194412925591
ball_6_2,0.058,0.1150104669335848
tray_9_7,0.245,0.2303502105233283
cup_8_1,0.166,0.2432540566771745
paper_box_6_1,0.015,0.2563566207797384
tray_7_6,0.022,0.2252540566771745
plastic_box_1_2,0.048,0.287722005395123
tray_6_7,0.312,0.4002091848823025
bowl_7_5,0.028,0.2664527746258925
bowl_3_4,0.222,0.2423758515489694
paper_box_2_4,0.054,0.2417155951387128
plate_1_8,0.17,0.2192796977028156
cup_6_8,0.302,0.2216258515489694
tray_8_9,0.072,0.3651643130874308
plate_8_5,0.543,0.2721002105233284
book_5_8,0.265,0.2204591848823028
sponge_2_10,0.012,0.4403758515489695
book_5_1,0.265,0.2378053387284568
paper_box_6_7,0.015,0.2350809797540975
metal_box_2_2,0.098,0.2819655951387129
tray_6_9,0.312,0.4054655951387129
to_go_cup_2_9,0.014,0.3352861079592258
paper_box_4_5,0.044,0.2693117489848669
metal_box_4_9,0.085,0.2118566207797387
paper_box_7_10,0.044,0.2618373900105077
book_9_9,0.686,0.2771002105233284
book_10_8,0.501,0.2852284156515335
sponge_7_10,0.011,0.2686579028310206
cup_7_1,0.239,0.1982220053951232
metal_box_3_1,0.146,0.2681322618053796
plastic_box_2_9,0.012,0.2895553387284566
plastic_box_3_9,0.101,0.2448053387284567
ball_1_3,0.096,0.1326130310361489
metal_box_6_6,0.152,0.2911899541130719
plastic_box_5_6,0.022,0.2665040566771744
plate_3_3,0.656,0.2145232874464054
plate_3_1,0.656,0.2246066207797386
tray_7_4,0.022,0.2217540566771745
tray_8_6,0.072,0.3596258515489696
ball_1_5,0.096,0.1544271336002514
metal_box_5_2,0.232,0.281760466933585
paper_box_8_6,0.02,0.1508245694976872
metal_box_9_2,0.167,0.2364207233438411
plate_3_5,0.656,0.2070617489848666
plate_2_8,0.331,0.2271899541130719
sponge_6_6,0.008,0.3532348259079436
metal_box_3_6,0.146,0.2470553387284564
paper_box_3_1,0.015,0.3690425182156361
plate_6_8,0.61,0.2623822618053795
ball_4_4,0.014,0.1403181592412773
sponge_1_3,0.005,0.3487989284720464
plastic_box_1_1,0.048,0.2876771336002514
plastic_box_8_2,0.092,0.2787732874464052
book_9_5,0.686,0.2558822618053797
bowl_6_10,0.05,0.2527604669335848
book_4_9,0.612,0.2742604669335846
cup_3_10,0.099,0.2276258515489693
ball_5_9,0.059,0.1078117489848667
ball_3_10,0.05,0.1594335438566619
plastic_box_3_1,0.101,0.2194912361643538
bowl_5_8,0.035,0.3047540566771744
to_go_cup_7_7,0.032,0.2347476464207642
sponge_3_6,0.007,0.5358053387284566
ball_3_4,0.05,0.1614527746258925
plate_8_1,0.543,0.2810745694976872
to_go_cup_2_10,0.014,0.3359335438566617
tray_7_9,0.022,0.2228950823182001
paper_box_6_6,0.015,0.2500873900105077
sponge_6_1,0.008,0.3941002105233282
plate_7_9,0.019,0.3328117489848669
plastic_box_10_2,0.026,0.2614527746258925
tray_5_10,0.167,0.2281835438566618
plate_9_9,0.177,0.2621835438566616
bowl_10_6,0.505,0.2481322618053798
ball_9_3,0.012,0.09788226180537962
bowl_8_7,0.244,0.1890104669335847
tray_2_2,0.554,0.2583438002669179
cup_7_6,0.239,0.2002220053951234
book_4_10,0.612,0.2630168771899949
sponge_2_8,0.012,0.4376386720617899
plastic_box_6_4,0.055,0.2719079028310208
metal_box_4_3,0.085,0.227593800266918
book_6_7,0.896,0.2286643130874308
book_9_3,0.686,0.2703309797540977
ball_2_8,0.058,0.1199399541130719
cup_4_4,0.13,0.2374784156515335
to_go_cup_7_1,0.032,0.244811748984867
paper_box_5_8,0.017,0.2359143130874308
cup_8_5,0.166,0.2646514925746105
tray_9_9,0.245,0.2285104669335848
sponge_8_10,0.008,0.3618694412925593
plate_3_8,0.656,0.2044976464207645
tray_6_10,0.312,0.4265809797540975
plastic_box_1_9,0.048,0.297542518215636
tray_1_3,0.446,0.2546963643694822
paper_box_3_4,0.015,0.3228245694976872
metal_box_1_6,0.041,0.2140809797540974
book_9_7,0.686,0.2797027746258923
metal_box_1_8,0.041,0.2159014925746106
tray_3_3,0.489,0.2949207233438411
cup_4_6,0.13,0.2243758515489696
plastic_box_1_10,0.048,0.291568159241277
bowl_7_7,0.028,0.2788373900105078
cup_10_5,0.058,0.2385809797540973
plastic_box_3_7,0.101,0.2151258515489692
plate_5_6,0.436,0.2000873900105077
bowl_9_9,0.548,0.2217348259079438
ball_6_4,0.058,0.1182091848823028
to_go_cup_9_8,0.037,0.2712155951387129
paper_box_9_7,0.674,0.2100873900105077
ball_1_10,0.096,0.1202348259079439
ball_9_6,0.012,0.1230361079592258
book_7_4,0.465,0.2378694412925591
bowl_3_10,0.222,0.2281771336002515
plate_1_6,0.17,0.2237925182156359
cup_5_10,0.318,0.2622668771899951
