instance_name,inv_weight,inv_roughness
plastic_box_10_7,-0.026,-0.3164271336002512
paper_box_8_6,-0.02,-0.1508245694976872
paper_box_2_6,-0.054,-0.2435040566771744
paper_box_4_5,-0.044,-0.2693117489848669
tray_9_3,-0.245,-0.2500681592412771
to_go_cup_6_4,-0.019,-0.2081258515489694
book_9_4,-0.686,-0.2745168771899948
cup_1_1,-0.218,-0.2820681592412771
plastic_box_3_10,-0.101,-0.2284591848823029
metal_box_2_10,-0.098,-0.2379399541130719
sponge_6_10,-0.008,-0.3555873900105077
ball_5_3,-0.059,-0.1156002105233282
ball_10_9,-0.033,-0.102542518215636
cup_2_3,-0.201,-0.2599207233438413
to_go_cup_1_7,-0.013,-0.2783822618053794
ball_1_6,-0.096,-0.1129463643694821
bowl_6_9,-0.05,-0.2661450823182001
ball_5_1,-0.059,-0.1150809797540976
ball_2_4,-0.058,-0.09887585154896954
tray_5_1,-0.167,-0.2418117489848669
bowl_10_1,-0.505,-0.2834848259079438
bowl_1_1,-0.264,-0.2408886720617901
paper_box_4_8,-0.044,-0.2796835438566617
cup_5_2,-0.318,-0.2639143130874307
tray_8_1,-0.072,-0.3423566207797387
bowl_5_3,-0.035,-0.2952091848823025
to_go_cup_7_4,-0.032,-0.2569591848823028
to_go_cup_10_2,-0.059,-0.2463822618053797
ball_6_5,-0.058,-0.0735873900105077
bowl_6_7,-0.05,-0.2662220053951233
metal_box_9_9,-0.167,-0.5095681592412771
book_7_1,-0.465,-0.259113031036149
metal_box_8_10,-0.101,-0.2141002105233283
sponge_8_2,-0.008,-0.3877861079592259
sponge_3_6,-0.007,-0.5358053387284566
ball_8_10,-0.057,-0.1467989284720462
to_go_cup_10_9,-0.059,-0.2371194412925592
cup_3_1,-0.099,-0.2340938002669182
to_go_cup_9_9,-0.037,-0.2888758515489693
plate_2_4,-0.331,-0.2350232874464053
paper_box_3_1,-0.015,-0.3690425182156361
paper_box_7_9,-0.044,-0.2726066207797387
sponge_5_2,-0.005,-0.3471899541130717
plastic_box_4_2,-0.026,-0.2143694412925591
tray_8_8,-0.072,-0.3672989284720464
plate_8_7,-0.543,-0.2562348259079439
paper_box_9_3,-0.674,-0.2169143130874308
tray_2_4,-0.554,-0.252068159241277
cup_3_7,-0.099,-0.2284399541130719
tray_7_9,-0.022,-0.2228950823182001
plastic_box_7_9,-0.109,-0.2405809797540977
ball_4_2,-0.014,-0.09699764642076414
book_4_7,-0.612,-0.277414313087431
bowl_1_8,-0.264,-0.2114463643694822
book_4_5,-0.612,-0.2704463643694822
metal_box_3_5,-0.146,-0.2524784156515334
book_6_3,-0.896,-0.2226322618053796
to_go_cup_8_9,-0.03,-0.2526194412925591
bowl_2_6,-0.343,-0.2272220053951234
sponge_2_3,-0.012,-0.4429655951387131
plate_7_3,-0.019,-0.3532220053951232
to_go_cup_2_9,-0.014,-0.3352861079592258
book_3_10,-1.043,-0.2791707233438411
plate_4_3,-0.343,-0.2578502105233283
ball_6_7,-0.058,-0.1554591848823029
plate_5_9,-0.436,-0.2089591848823027
cup_5_4,-0.318,-0.2471643130874308
to_go_cup_3_1,-0.046,-0.2513566207797385
ball_2_8,-0.058,-0.1199399541130719
plastic_box_10_4,-0.026,-0.2597732874464053
book_7_7,-0.465,-0.2327732874464053
book_8_10,-0.317,-0.263286107959226
ball_3_8,-0.05,-0.1820425182156361
to_go_cup_5_4,-0.007,-0.3082668771899951
tray_8_3,-0.072,-0.348689954113072
sponge_9_3,-0.013,-0.3981258515489695
bowl_5_2,-0.035,-0.296119441292559
tray_4_5,-0.168,-0.2209079028310206
plastic_box_3_1,-0.101,-0.2194912361643538
ball_8_4,-0.057,-0.1204207233438412
tray_4_4,-0.168,-0.2217540566771745
ball_7_4,-0.069,-0.09898482590794368
ball_3_7,-0.05,-0.1561707233438411
plastic_box_8_4,-0.092,-0.2909079028310207
cup_10_9,-0.058,-0.2371194412925592
sponge_3_3,-0.007,-0.5837091848823027
tray_7_6,-0.022,-0.2252540566771745
ball_3_10,-0.05,-0.1594335438566619
paper_box_9_1,-0.674,-0.2170361079592259
