instance_name,length,width,hollowness
book_6_5,0.7146898801456097,1,0.1246963926735157,0
book_7_7,0.6738900760282895,1,0.07056352812530871,0
bowl_7_3,1,0.9920806440633915,0.7478955934133256,0.9538704828779766
tray_1_7,1,0.9939587582968982,0.1031396830327908,0
plastic_box_5_5,1,0.8758213963514668,0.3287068906482146,0
book_2_6,1,0.6985574085357065,0.1976494522467202,0
book_2_8,1,0.6875206038164018,0.1985037043060744,0
ball_8_6,0.6318790499779225,1,0.8494878379292468,0
metal_box_8_10,0.9229522845025346,1,0.4657045421483164,0
cup_1_4,0.6140683632640436,0.6278626118815845,1,0.8965737522585648
sponge_5_4,0.9247968641647295,1,0.3549123876281015,0
book_9_7,0.705551391760344,1,0.09616073077153575,0
metal_box_3_3,0.9655567385735888,1,0.3364384084806962,0
to_go_cup_10_9,0.8799449338362347,0.8931153233826848,1,0.793220105545913
paper_box_8_5,0.3470614664519849,1,0.239240377637677,0
plate_5_3,0.9646998520821338,1,0.1031061736322603,0.8117457163866112
ball_5_10,0.5896030827267652,1,0.8337415783827232,0
to_go_cup_6_7,0.80444334963454,0.8785387494357783,1,0.9003435089131779
paper_box_9_6,0.3457793752798958,0.6803489738914523,1,0
bowl_4_10,0.998276614544127,1,0.5924695238333078,0.9318751052268216
metal_box_8_1,0.9206902349251493,1,0.4635693021019171,0
ball_9_1,0.7772749978939653,1,0.9304225223054947,0
ball_4_2,0.5097176249474982,1,0.8023332901739654,0
bowl_1_10,0.5785217050662698,1,0.4446988384003959,0.8841203494489502
paper_box_5_3,0.5236752801883107,1,0.5807728247439605,0
paper_box_6_1,0.532046854542854,1,0.2610647628035629,0
tray_10_6,0.621198960962288,1,0.09290752238956011,0
plastic_box_10_4,0.8213306999095213,1,0.3972505232314431,0
plate_1_5,0.9475883827445492,1,0.1219461851000634,0.8398644615052357
paper_box_3_7,0.6523656012656172,1,0.2858218634069011,0
bowl_1_1,0.4486488850533366,1,0.4547022426548686,0.8868320440649845
cup_9_4,0.6945762723390448,1,0.7768870919735907,0.8906612807843559
sponge_4_10,0.8410454020628687,1,0.319490954111875,0
plate_2_3,0.931347025593059,1,0.1171237041149861,0.7203879793026043
plate_3_8,0.9971973837430914,1,0.1026481538152301,0.7490573931555203
to_go_cup_9_1,0.6026361119440977,0.5893321152357507,1,0.9900640562598814
sponge_5_7,0.8931692166762858,1,0.3539628984111332,0
plastic_box_7_6,0.8157469731665264,0.8664040958678132,1,0
plate_10_7,0.8605649744730942,1,0.1102308727820081,0.8718433371283559
metal_box_3_4,0.9452670353562665,1,0.331020455517769,0
bowl_6_10,0.9807093157178052,1,0.4763339155311277,0.8413466462388907
cup_6_7,0.80444334963454,0.8785387494357783,1,0.9003435089131779
cup_8_3,0.5922811321942913,0.6016874750060903,1,0.9630928324449113
bowl_10_8,0.9232131649347664,1,0.5086338305635921,0.700971845541001
metal_box_1_6,0.9354754633019139,1,0.8277390267553941,0
book_1_7,1,0.6752126019817632,0.2234396860796657,0
bowl_2_10,0.9596284173658234,1,0.4719266562259357,0.9580915041753971
cup_6_10,0.8410381075256717,0.8603019747950755,1,0.8970997613280774
plate_5_9,0.9637759381711914,1,0.09974964093581595,0.8062593595090104
metal_box_5_7,1,0.7569340811619688,0.3833031682095734,0
to_go_cup_5_3,0.9359557210555245,1,0.835080656475874,0.9995833808593637
bowl_3_5,0.9297404567484038,1,0.5222940880288898,0.8004622561105162
book_6_6,0.7131144103819842,1,0.1281059264217506,0
cup_5_9,0.9225802032444365,1,0.8368262928687591,0.9995901913192821
to_go_cup_6_4,0.8373209967460254,0.8496749241027489,1,0.8975485140140381
to_go_cup_8_8,0.6133495944706892,0.5851847902676897,1,0.9439469909640261
cup_10_2,0.7616503796534905,1,0.7542514065213507,0.8875322051610132
tray_4_4,0.6742763397337482,1,0.1270170182492667,0
plastic_box_3_4,0.4099765101498744,0.7059214425611005,1,0
plastic_box_10_7,0.7822809161139839,1,0.4748400604761964,0
ball_2_10,0.8240660203189972,1,0.942257356537383,0
tray_6_4,0.826321633106651,1,0.08488204798459531,0
plate_8_7,0.9668724181093539,1,0.2074315371559225,0.878021492646007
bowl_10_1,0.9326848087913219,1,0.5081221678892917,0.6974639061348621
bowl_8_10,0.9416589706260743,1,0.4352306444778378,0.9283306890937972
paper_box_3_5,0.6568430240996612,1,0.284111221500602,0
ball_1_7,0.7331678195418998,1,0.9033926498860099,0
paper_box_4_8,0.7884050476091119,1,0.1825102327675663,0
metal_box_4_7,0.9547900139033666,1,0.3888063047453902,0
paper_box_5_7,0.5165575060214022,1,0.5765323810376565,0
tray_3_1,0.9529191283136403,1,0.08806925811147341,0
sponge_1_6,0.666268997756924,1,0.2513118072656639,0
to_go_cup_6_3,0.8454324636301741,0.8689376152646652,1,0.8975791277637749
